Product Name,MRP,Wholesale Rate,Retail Rate
Alphenlibe Gold Toffee 100Pc ,90.0,80.0,85.0
Ambi Pure Car Refill ,175.0,150.0,160.0
American Playing Cards Box 12pc,360.0,190.0,200.0
Amla Candy 500gm,165.0,100.0,115.0
Amla Powder,30.0,20.0,22.0
Amul Butter 10/-,10.0,8.5,10.0
Amul Butter 100gm,46.0,42.0,46.0
Amul Butter 500gm,225.0,205.0,215.0
Amul Butter Baccha ,450.0,420.0,440.0
Amul Chesse 118/- ,118.0,108.0,110.0
Amul Chesse 20/-,20.0,15.0,18.0
Amul Cow Ghee 1kg,425.0,420.0,430.0
Amul Fresh Cream 200gm,57.0,53.0,55.0
Amul Ghee 1kg,460.0,440.0,440.0
Amul Kool Bottle 200ml,20.0,18.0,19.0
Amul Spray 1kg                                     ,377.0,350.0,360.0
Amul Spray 500gm                                   ,195.0,180.0,185.0
Amway Glister Toothpaste 100gm,150.0,130.0,140.0
Anardana Goli 5/- pckt 30pc,180.0,155.0,165.0
Anmol Coconut Oil 175gm                            ,48.0,42.0,45.0
Anmol Coconut Oil 500gm                            ,158.0,130.0,140.0
Anne French 40gm                                   ,65.0,55.0,60.0
Appy 160ml 10/-        ,10.0,8.5,9.5
Appy Petti 40pc 10/- ,400.0,330.0,350.0
Ariel Detergent 10/-                                              ,10.0,9.0,10.0
Ariel Detergent 10/- katta 60pc                                   ,600.0,510.0,550.0
Ariel Detergent 1kg,215.0,193.0,203.0
Ariel Detergent 2/- Ladi 12pc,24.0,20.0,22.0
Ariel Detergent 3kg,520.0,450.0,470.0
Ariel Detergent 500gm,101.0,91.0,95.0
Ariel Matic 2kg                                                   ,465.0,415.0,430.0
Atta Maggi 20/-,20.0,18.0,19.0
Atta Maggi 78/-,78.0,72.0,75.0
Attacker Cockroach Kill 90gm ,59.0,45.0,50.0
Axe Shaving Cream 78gm,72.0,65.0,70.0
Axe Shaving Lotion 200/-,200.0,180.0,190.0
Axe Signature Deo,225.0,175.0,190.0
Ayur All Purpose 80gm                              ,65.0,55.0,60.0
Ayur All Purpose Cream 200gm                       ,110.0,95.0,100.0
Ayur Asinget 100ml                                 ,50.0,42.0,45.0
Ayur Cleansing Milk 100gm                          ,50.0,43.0,45.0
Ayur Cold Cream 200gm                              ,110.0,95.0,100.0
Ayur Cold Cream 80gm                               ,65.0,58.0,62.0
Ayur Sandal Face Pack                              ,20.0,16.0,18.0
Ayur Shampoo 100gm                                 ,50.0,43.0,45.0
Ayur Shampoo 1kg                                   ,215.0,165.0,175.0
Ayur Shampoo 200gm                                 ,85.0,75.0,80.0
Ayur Shampoo 500gm                                 ,140.0,110.0,120.0
Ayur Skin Glow Moisturizer 100ml                   ,50.0,42.0,45.0
Ayur Skin Toner 100ml                              ,50.0,42.0,45.0
Baba Elaichi 80/- ,80.0,65.0,70.0
Babool Paste 180gm,47.0,42.0,44.0
Babool Paste 360gm,84.0,74.0,78.0
Babool Paste 90gm,30.0,27.0,28.0
Babool Toothpaste 10/-,10.0,9.0,10.0
Badam 50gm ,50.0,40.0,38.0
Badam Roghan 100ml,385.0,270.0,300.0
Badam Roghan 25ml,105.0,80.0,90.0
Badam Roghan 50ml,200.0,140.0,150.0
Bagh Vakhri Tea 250gm,100.0,90.0,95.0
Bajaj Almond Oil 1/- 100pc ,100.0,85.0,95.0
Bajaj Almond Oil 10/-                                             ,10.0,9.0,10.0
Bajaj Almond Oil 100ml                                            ,60.0,53.0,55.0
Bajaj Almond Oil 200ml                                            ,115.0,100.0,110.0
Bajaj Almond Oil 300ml                                            ,165.0,145.0,150.0
Bajaj Almond Oil 500ml                                            ,260.0,230.0,235.0
Bajaj Almond Oil 50ml                                             ,32.0,29.0,30.0
Baking Powder 100gm,30.0,15.0,20.0
Bambino Macroni 1 kg                                ,70.0,60.0,65.0
BAMBINO MACRONI 10- LADI 14 Pcs,140.0,114.0,108.0
Bambino Macroni 200gm                              ,20.0,17.0,19.0
Bambino Macroni 500gm                              ,45.0,39.0,42.0
Bambino Macroni 90gm                               ,10.0,8.75,10.0
Bambino Macroni Masala 10/-,10.0,8.7,9.0
Bambino Pasta 2+1                                  ,120.0,104.0,110.0
Bambino Pasta 250gm                                ,60.0,52.0,55.0
Bambino Sewiyan Kheer 10/-,10.0,9.0,9.5
Bambino Sewiyan Plain 120gm   ,10.0,8.75,10.0
Bambino Sewiyan Plain 1kg                          ,60.0,52.0,55.0
Bambino Sewiyan Plain 250gm                        ,20.0,17.0,19.0
Bambino Sewiyan Plain 500gm                        ,36.0,31.0,33.0
Bambino Sewiyan Roasted 10/-                       ,10.0,8.75,10.0
Bambino Sewiyan Roasted 1kg                        ,85.0,75.0,80.0
Bambino Sewiyan Roasted 250gm                      ,24.0,21.0,23.0
Bambino Sewiyan Roasted 500gm                      ,50.0,43.0,47.0
Band Aid 2/- ,2.0,1.3,1.5
Band Aid Plain 100 + 30pc                          ,200.0,165.0,180.0
Band Aid Waterproof 100pc                          ,250.0,215.0,220.0
Band Aid Waterproof 2.50/- ,2.5,1.7,2.0
Banfool Oil 100ml,63.0,55.0,60.0
Banfool Oil 200ml,115.0,90.0,100.0
Bar One 10/-,10.0,9.0,10.0
Bear Shampoo 300ml,155.0,135.0,145.0
Bengal Phenyl,60.0,50.0,55.0
Benson Ciggerate,278.0,280.0,260.0
Bhaiya Chaap,70.0,50.0,50.0
Black Ciggerate,150.0,100.0,120.0
Black Diamond 10/- Box 5pc,50.0,40.0,45.0
Black Rose 12/- Box 5pc,60.0,42.0,45.0
Bonnie Bottle Non-Printed 150ml                    ,43.0,27.0,35.0
Bonnie Bottle Non-Printed 250ml                    ,45.0,29.0,37.0
Bonnie Bottle Printed 150ml                        ,75.0,55.0,65.0
Bonnie Bottle Printed 250ml                        ,75.0,55.0,65.0
Bonnie Nipple 15pc                                 ,225.0,90.0,140.0
Boonie Nipple ,15.0,7.0,10.0
Boost 30/-,30.0,26.0,28.0
Boost 500 gm Jar,232.0,215.0,230.0
Boroline Cream 20gm 32/-,32.0,28.0,30.0
Boroplus 30/-                                      ,30.0,27.0,29.0
Boroplus Cream 40gm,55.0,49.0,52.0
Boroplus Cream 5/-,5.0,4.5,5.0
Boroplus Cream 5/- Ladi 18pc,90.0,81.0,85.0
Boroplus Cream 80gm,90.0,80.0,85.0
Boroplus Ice Powder ,77.0,70.0,75.0
Boroplus Lotion ,160.0,140.0,150.0
Bournvita 30/-,30.0,26.5,28.0
Bournvita 30/- Ladi 10pc,300.0,265.0,275.0
Bournvita Biscuit 10/-,10.0,9.0,10.0
Bournvita Jar 1kg                                                 ,395.0,350.0,360.0
Bournvita Jar 200gm                                               ,108.0,96.0,100.0
Bournvita Jar 500gm                                               ,237.0,212.0,220.0
Bournvita Lil Champs 200gm,135.0,120.0,125.0
Bournvita Lil Champs 500gm,275.0,250.0,260.0
Bournvita Pouch 500gm                                             ,208.0,185.0,195.0
Breeze Soap Set 3pc,30.0,27.0,28.0
Breeze Soap Set 4pc,58.0,50.0,52.0
Britania 50-50  10/-,10.0,9.0,9.5
Britania Bournbon 10/- ,10.0,9.0,9.5
Britania Bournbon 20/-,20.0,18.0,20.0
Britania Bournbon Biscuit 27/- ,27.0,24.5,26.0
Britania Bournbon Biscuit 5/- Jar 28pc,140.0,125.0,130.0
Britania Choclate Cake 15/-,15.0,13.5,14.0
Britania Choclate Cake 30/-,30.0,27.0,28.0
Britania Fruit Cake 15/-,15.0,13.5,14.0
Britania Fruit Cake 30/-,30.0,27.0,28.0
Britania Little Hearts 10/- Ladi 10pc,100.0,90.0,95.0
Britania Marie Gold 10/-,10.0,9.0,9.5
Britania Marie Gold 250gm 30/-,30.0,27.0,28.0
Britania Nutri Choice 20/-,20.0,18.0,19.0
Britania Orange Cake 15/-,15.0,13.5,14.0
Britania Orange Cake 30/-,30.0,27.0,28.0
Britania Veg Cake 20/-,20.0,18.0,20.0
Brookebond Red Label 10/-,10.0,8.5,9.0
Brookebond Red Label 1kg,350.0,310.0,315.0
Brookebond Red Label 250gm,90.0,82.0,85.0
Brookebond Red Label 500gm,175.0,160.0,165.0
Brookebond Red Label Naturals 250gm,120.0,108.0,115.0
Bru Coffee 1/- pckt 48pc                           ,48.0,42.0,45.0
Bulb 0Wtt                                                   ,15.0,11.0,15.0
Bulb 0Wtt Mix 15/- ,15.0,11.0,15.0
Bulb 100Wtt                                                       ,15.0,10.0,15.0
Bulb 200Wtt                                                     ,28.0,20.0,25.0
Bulb 40Wtt                                            ,15.0,10.0,15.0
Bulb 60Wtt                                          ,15.0,10.0,15.0
Burger 10/- ,10.0,7.9,9.0
Butter Bite 20/-,20.0,17.5,19.0
Butter Bite 5/-,5.0,4.5,4.7
Butter Bite 5/- 10pc,50.0,45.0,47.0
Butter Delight Pckt 5/- ,50.0,45.0,47.0
Cap Dhoop -60/-,60.0,50.0,55.0
Catch Black Pepper 50gm                            ,97.0,84.0,90.0
Catch Black Salt 200gm                             ,32.0,27.0,30.0
Catch Channa Masala 5/- Hanger 60pc                ,300.0,240.0,260.0
Catch Channa Masala 5/- Ladi 10pc                  ,50.0,42.0,48.0
Catch Chat Masala 100gm                            ,55.0,48.0,50.0
Catch Chat Masala 5/- Ladi 10pc                    ,50.0,42.0,48.0
Catch Chat Masala Hanger 60pc                      ,300.0,240.0,260.0
Catch Pav Bhaji Masala 5/- ladi 10pc,50.0,42.0,45.0
Catch Table Salt 200gm                             ,25.0,21.0,23.0
Centre Fresh 1/- Jar 190pc,190.0,170.0,180.0
Centre Fruit 1/- Jar 170pc,170.0,150.0,160.0
Chand Tara Gul 120/- ,120.0,84.0,84.0
Chat Masala 10/-,10.0,8.35,9.0
Cheni Kheni,160.0,135.0,150.0
Cheni Kheni Bundle 3pc ,450.0,405.0,400.0
Cherry Liquid Polish Black,77.0,68.0,70.0
Cherry Liquid Polish Brown,77.0,68.0,70.0
Cherry Polish Black Big,55.0,48.0,52.0
Cherry Polish Black Small,30.0,26.0,28.0
Cherry Polish Brown Big ,55.0,48.0,52.0
Cherry Polish Brown Small,30.0,26.0,28.0
Cherry Shoe Shinner,67.0,60.0,65.0
Cherry White Polish 50/-,50.0,45.0,47.0
Chicken Masala 10/-,10.0,8.35,9.0
China Brush 10pc                                                  ,150.0,72.0,100.0
Chings Fried Rice Masala 10/- Ladi 10pc,100.0,85.0,95.0
Chings Hakka Noodles Masala 10/- Ladi 10pc,100.0,85.0,95.0
Chings Hot & Sour Soup ,10.0,8.5,9.5
Chings Hot & Sour Soup 10/- Ladi 10pc,100.0,85.0,95.0
Chings Manchow Soup 10/-,10.0,8.5,9.5
Chings Manchow Soup 10/- Ladi 10pc,100.0,85.0,95.0
Chings Manchurian Noodles 10/- ,10.0,9.0,10.0
Chings Masala Panner Chilli 10/- Ladi 10pc,100.0,85.0,95.0
Chings Mix Veg Soup 10/-,10.0,8.5,9.5
Chings Mix Veg Soup 10/- Ladi 10pc,100.0,85.0,95.0
Chings Noodles 10/-,10.0,9.0,9.5
Chings Schezwan Chutney 10/- ,10.0,8.5,9.5
Chings Schezwan Chutney 10/- Ladi 10pc,100.0,85.0,95.0
Chings Schezwan Chutney 250gm,60.0,54.0,57.0
Chings Schezwan Fried Rice Masala 10/- Ladi 10pc,100.0,85.0,95.0
Chings Sweet Corn Soup 10/-,10.0,8.5,9.5
Chings Sweet Corn Soup 10/- Ladi 10pc,100.0,85.0,95.0
Chings Tomato Soup ,10.0,8.5,9.5
Chings Tomato Soup Ladi 10/- 10pc,100.0,85.0,95.0
Chings Veg Manchurian Masala 10/- Ladi 10pc,100.0,85.0,95.0
Chips 10/-,10.0,9.0,10.0
Chips 10/-  Ladi 10pc,100.0,90.0,90.0
Chips 20/-,20.0,18.0,19.0
Chips 35/-,35.0,31.0,32.0
Choclate Powder 100gm,65.0,45.0,50.0
Choclate Wax,150.0,70.0,80.0
Chowmein Loose ,20.0,10.5,15.0
Chutkhi,60.0,45.0,50.0
Cinthol Black Soap Set 4pc,94.0,86.0,88.0
Cinthol Blue Soap Set 3pc,88.0,80.0,82.0
Cinthol Deo Stick ,69.0,61.0,65.0
Cinthol Lime Soap Set 4pc ,100.0,90.0,98.0
Cinthol Lime Soap Set 4pc 10/-,40.0,36.0,38.0
Cinthol Powder 300gm                               ,99.0,85.0,90.0
Cinthol Soap 10/-,10.0,9.0,10.0
Classic Brush  25/- ,25.0,18.0,22.0
Classic Brush Hard /- 12+1 ,300.0,195.0,250.0
Classic Brush Mideum 12+1/- ,300.0,195.0,250.0
Classic Brush Soft 12+1/- ,300.0,195.0,250.0
Classic Ciggerate Menthol,278.0,276.0,280.0
Classic Ciggerate Mild,278.0,276.0,260.0
Classic Ciggerate Regular,278.0,276.0,260.0
Classic Ciggerate Ultra,278.0,276.0,260.0
Classic Creme Biscuit 5/- pckt 12pc,60.0,54.0,58.0
Clean & Clear Face Wash 110/- ,110.0,98.0,105.0
Clean & Clear Face Wash 20/-,20.0,18.0,20.0
Clean & Clear Face Wash 60/-,60.0,53.0,55.0
Clean & Clear Morning Face Wash 65/-,65.0,57.0,60.0
Cleanzo White Phenyl 5L                                           ,250.0,180.0,200.0
Clinic All Clear Oil 150ml                                        ,108.0,96.0,100.0
Clinic All Clear Oil 80ml                                         ,55.0,50.0,52.0
Clinic Plus 1/- Ladi 16pc                                             ,16.0,13.0,14.0
Clinic Plus 1/- petti 960pc                                            ,960.0,740.0,840.0
Clinic Plus Oil 100ml                                             ,48.0,44.0,46.0
Clinic Plus Oil 200ml                                             ,90.0,80.0,90.0
Clinic Plus Shampoo + Conditnor 3/- Ladi 16pc,48.0,38.0,44.0
Clinic Plus Shampoo 175ml,95.0,85.0,90.0
Clinic Plus Shampoo 2/- Ladi 16pc,32.0,27.0,30.0
Clinic Plus Shampoo 340ml,192.0,175.0,170.0
Clinic Plus Shampoo 80ml,47.0,42.0,45.0
Closeup Toothpaste 10/-,10.0,8.35,10.0
Closeup Toothpaste 150gm,86.0,76.0,80.0
Closeup Toothpaste 300gm,157.0,136.0,146.0
Closeup Toothpaste 80gm,50.0,45.0,47.0
CNC Biscuit 10/-,10.0,9.0,9.5
CNC Biscuit 5/- pckt 10pc,50.0,45.0,47.0
Cobra Perfume 45/-,45.0,25.0,30.0
Cobra Perfume 80/-,80.0,45.0,50.0
Cockroach Hit Gel ,30.0,26.0,28.0
Coco Powder,75.0,55.0,70.0
Cold Drink  Frooti 500ml,35.0,32.0,32.0
Cold Drink Appy 1l,55.0,55.0,55.0
Cold Drink Appy 500ml,30.0,30.0,30.0
Cold Drink Fanta 1.25l,60.0,55.0,55.0
Cold Drink Fanta 2l,85.0,75.0,75.0
Cold Drink Fanta 500ml,35.0,33.0,33.0
Cold Drink Frooti 1.25l,65.0,60.0,60.0
Cold Drink Frooti 2l,95.0,85.0,85.0
Cold Drink Limca 1.25L,60.0,55.0,55.0
Cold Drink Limca 2L,85.0,75.0,80.0
Cold Drink Limca 500ml,35.0,33.0,33.0
Cold Drink Pepsi 1.25l,60.0,55.0,55.0
Cold Drink Pepsi 2l,85.0,75.0,75.0
Cold Drink Pepsi 500ml,35.0,33.0,33.0
Cold Drink Sprite 1.25l,60.0,55.0,55.0
Cold Drink Sprite 2l,85.0,75.0,75.0
Cold Drink Sprite 500ml,35.0,33.0,33.0
Cold Wax ,115.0,50.0,60.0
Colgate Active Salt Lemon Toothpaste 100gm,55.0,50.0,52.0
Colgate Active Salt Lemon Toothpaste 200gm,97.0,87.0,92.0
Colgate Active Salt Toothpaste 100gm,58.0,53.0,55.0
Colgate Active Salt Toothpaste 200gm,96.0,86.0,92.0
Colgate Active Salt Toothpaste 50gm,20.0,18.0,20.0
Colgate Brush 30/- ,30.0,22.0,30.0
Colgate Brush Set ,60.0,50.0,55.0
Colgate Dant Manjan 100gm,40.0,36.0,38.0
Colgate Dant Manjan 200gm,70.0,63.0,65.0
Colgate Dant Manjan 50gm,21.0,19.0,20.0
Colgate Herbal Toothpaste 100gm,50.0,45.0,48.0
Colgate Herbal Toothpaste 200gm,95.0,85.0,88.0
Colgate Herbal Toothpaste 200gm,87.0,78.0,82.0
Colgate Kids Brush 20/-                            ,20.0,15.0,18.0
Colgate Kids Brush 20/- Hanger 6pc                 ,120.0,90.0,100.0
Colgate Kids Toothpaste ,82.0,72.0,75.0
Colgate Max Fresh 10/-,10.0,8.7,10.0
Colgate Max Fresh 100gm,52.0,47.0,50.0
Colgate Max Fresh 150gm,95.0,85.0,90.0
Colgate Max Fresh 300gm,190.0,170.0,178.0
Colgate Maximum Care Protection Toothpaste 100gm,48.0,43.0,45.0
Colgate Neem Toothpaste 100gm,55.0,50.0,52.0
Colgate Neem Toothpaste 200gm,97.0,87.0,92.0
Colgate Plax 250gm,99.0,90.0,95.0
Colgate Plax Visible White 250gm,115.0,104.0,108.0
Colgate Powder 100gm,40.0,36.0,38.0
Colgate Powder 200 gm,70.0,63.0,65.0
Colgate Powder 50gm,21.0,19.0,20.0
Colgate Salt 10/- Paste,10.0,9.0,10.0
Colgate Sensitive Original Toothpaste 80gm,105.0,92.0,98.0
Colgate Sensitive Plus Toothpaste 70gm,135.0,117.0,125.0
Colgate Sibaca 200gm,48.0,43.0,45.0
Colgate Sibaca 350gm,90.0,80.0,85.0
Colgate Sibaca 80gm,32.0,29.0,30.0
Colgate Sibaca Brush 14/-                          ,14.0,9.5,12.0
Colgate Sibaca Brush 14/- Hanger 12pc              ,168.0,110.0,130.0
Colgate Sibaca Laung Toothpaste 175gm,60.0,53.0,58.0
Colgate Super Flexi Brush 20/-                     ,20.0,15.0,18.0
Colgate Super Flexi Brush 20/- Hanger 12pc         ,240.0,160.0,200.0
Colgate Toothpaste 10/-,10.0,8.67,10.0
Colgate Toothpaste 100gm,52.0,47.0,50.0
Colgate Toothpaste 150gm,67.0,59.0,62.0
Colgate Toothpaste 200gm,90.0,80.0,85.0
Colgate Toothpaste 300gm,142.0,125.0,130.0
Colgate Toothpaste 50 gm,20.0,18.0,20.0
Colgate Toothpaste 500gm,172.0,154.0,162.0
Colgate Total Toothpaste 140gm,112.0,100.0,105.0
Colgate Total Toothpaste 70gm,60.0,54.0,56.0
Colgate Visible White Toothpaste 115gm,92.0,82.0,88.0
Colgate Visible White Toothpaste 50gm,45.0,40.0,43.0
Colgate Zig Zag Brush 27/-,27.0,20.0,25.0
Colgate Zig Zag Brush 27/- Hanger 6pc                   ,162.0,120.0,140.0
Colin 250ml                                                       ,55.0,50.0,52.0
Colin 500ml                                                       ,79.0,72.0,75.0
Color Mate Hair Colour 9.1-Natural Black,25.0,18.0,20.0
Color Mate Hair Colour 9.2-Natural Brown,25.0,18.0,20.0
Color Mate Hair Colour 9.3-Burgundy,25.0,18.0,20.0
Color Mate Hair Colour 9.4-Golden Brown,25.0,18.0,20.0
Color Mate Hair Colour Box 12pc 9.1-Natural Black,300.0,195.0,220.0
Color Mate Hair Colour Box 12pc 9.2-Natural Brown,300.0,195.0,220.0
Color Mate Hair Colour Box 12pc 9.3-Burgundy,300.0,195.0,220.0
Color Mate Hair Colour Box 12pc 9.4-Golden Brown,300.0,195.0,220.0
Colour Soft Hair Colour ,150.0,130.0,140.0
Comb Big Pckt 12pc,200.0,120.0,150.0
Comb Small Pckt 12pc,60.0,40.0,50.0
Comfort ladi 3/- 10pc,30.0,27.0,28.0
Comfort Liquid 1L,205.0,180.0,195.0
Comfort Liquid 200gm                                              ,55.0,50.0,52.0
Commander Ciggerate Big,80.0,80.0,78.0
Commander Ciggerate Small,45.0,42.0,45.0
Commander Gold Cigerrate ,30.0,27.0,30.0
Complan Choclate ,245.0,225.0,230.0
Complan Choclate 120/-,120.0,108.0,115.0
Complan Kesar Badam,290.0,265.0,275.0
Complan Kesar Badam 130/-,130.0,118.0,122.0
Complan Pista Badam 245/-,245.0,225.0,230.0
Complan Plain 235/-,235.0,215.0,220.0
Cooler Perfume,32.0,20.0,25.0
Cornflour 100gm,25.0,22.0,22.0
Cornflour 500gm,77.0,70.0,72.0
Cotton 10/-                                                       ,10.0,5.0,10.0
Cotton 12pc 10/-  Pkt.                                          ,120.0,40.0,70.0
Cotton 20/-                                                       ,20.0,10.0,20.0
Cotton 200gm                                                      ,120.0,32.0,40.0
Cotton 20pc 5/-  Pkt.                                      ,100.0,45.0,70.0
Cotton 5/-                                                        ,5.0,3.0,5.0
Cotton 500gm                                                      ,240.0,65.0,80.0
Cotton 6pc 20/-  Pkt.                                          ,120.0,45.0,70.0
Cremica Sauce 1/- 48pc pckt,48.0,42.0,45.0
Cremica Sauce 100pc,100.0,84.0,90.0
Cremica Sauce Pouch 1kg,115.0,80.0,90.0
Ctach Kitchen King ,5.0,4.0,4.2
Custard 100gm,35.0,30.0,33.0
Custard 500gm,125.0,105.0,115.0
Cycle 3in1 Agarbati 50/-                           ,50.0,40.0,45.0
Cycle Agarbati 10/-,120.0,95.0,100.0
Dabur Almond Shampoo 350ml,255.0,230.0,240.0
Dabur Amla 100ml                                                  ,44.0,40.0,42.0
Dabur Amla 200ml ,88.0,78.0,85.0
Dabur Amla 25ml                                                   ,10.0,9.0,9.5
Dabur Amla 275ml                                                  ,130.0,115.0,120.0
Dabur Amla 450ml                                                  ,199.0,178.0,188.0
Dabur Amla 45ml                                                   ,20.0,18.0,19.0
Dabur Anmol Oil 1 /- Ladi 15pc,15.0,13.0,14.0
Dabur Chameli Tel 100ml                                           ,53.0,48.0,50.0
Dabur Chameli Tel 200ml                                           ,100.0,90.0,95.0
Dabur Chameli Tel 50ml                                            ,27.0,24.0,26.0
Dabur Chywanprash 1kg,295.0,235.0,250.0
Dabur Chywanprash 250gm,84.0,74.0,78.0
Dabur Chywanprash 500gm,160.0,130.0,140.0
Dabur Chywanprash Mango 500gm,163.0,145.0,150.0
Dabur Chywanprash Sugarfree 500gm,140.0,120.0,130.0
Dabur Glucoplus-C Ampana 100gm,28.0,22.0,27.0
Dabur Glucoplus-C Nimbu Pani 100gm,28.0,22.0,25.0
Dabur Glucoplus-C Nimbu Pani 200gm,55.0,44.0,50.0
Dabur Glucoplus-C Plain 200gm,30.0,24.0,27.0
Dabur Glucoplus-C Plain 500gm,77.0,62.0,70.0
Dabur Gulabjal 30ml,15.0,13.0,14.0
Dabur Gulabjal 50ml,26.0,23.0,25.0
Dabur Gulabri Cream 5/-,5.0,4.5,4.7
Dabur Gulbajal 120ml,42.0,37.0,40.0
Dabur Honey 100gm                                                 ,59.0,52.0,55.0
Dabur Honey 1kg                                                   ,380.0,340.0,355.0
Dabur Honey 250gm                                                 ,122.0,110.0,115.0
Dabur Honey 25gm                                                  ,16.0,14.5,16.0
Dabur Honey 500gm                                                 ,199.0,180.0,185.0
Dabur Honey 50gm                                                  ,37.0,33.0,35.0
Dabur India Gate Rice Green 1kg ,100.0,85.0,90.0
Dabur Lal Baby Oil 100gm,90.0,80.0,85.0
Dabur Lal Baby Oil 200gm,165.0,150.0,155.0
Dabur Lal Baby Oil 50gm,44.0,40.0,42.0
Dabur Lal Manjan 150gm                             ,54.0,49.0,52.0
Dabur Lal Manjan 20gm                              ,10.0,9.0,10.0
Dabur Lal Manjan 60gm                              ,25.0,22.0,23.0
Dabur Red Toothpaste 10/- ,10.0,9.0,10.0
Dabur Red Toothpaste 100gm,48.0,43.0,45.0
Dabur Red Toothpaste 200gm,88.0,78.0,82.0
Dabur Red Toothpaste 300gm,123.0,110.0,115.0
Dabur Red Toothpaste 50 gm,20.0,18.0,20.0
Dabur Red Toothpaste Set -222/-,222.0,210.0,220.0
Dabur Sarso Amla 175ml                                            ,47.0,42.0,45.0
Dabur Sarso Amla 40ml                                             ,10.0,9.0,9.5
Dabur Sarso Amla 80ml                                             ,20.0,18.0,19.0
Dal Loose  Moong Chilka 1kg,85.0,70.0,80.0
Dal Loose Arhar 1kg,85.0,79.0,80.0
Dal Loose Arhar 250gm,25.0,18.0,22.0
Dal Loose Arhar 500gm,50.0,35.0,40.0
Dal Loose Arhar 50gm,10.0,4.0,5.0
Dal Loose Bazra 1kg,30.0,18.0,20.0
Dal Loose Bazra 500gm,10.0,9.0,10.0
Dal Loose Black Chana 1kg,90.0,78.0,85.0
Dal Loose Black Chana 250gm,30.0,19.0,22.0
Dal Loose Black Chana 500gm,50.0,40.0,44.0
Dal Loose Black Chana 50gm,10.0,4.0,5.0
Dal Loose Black Masr 1kg,110.0,90.0,100.0
Dal Loose Black Masr 250gm,30.0,22.0,25.0
Dal Loose Black Masr 500gm,60.0,45.0,50.0
Dal Loose Black Masr 50gm,10.0,4.5,5.0
Dal Loose Dal Chana 1kg,90.0,70.0,80.0
Dal Loose Dal Chana 250gm,25.0,21.0,22.0
Dal Loose Dal Chana 500gm,50.0,35.0,40.0
Dal Loose Dal Chana 50gm,10.0,3.5,4.0
Dal Loose Maa Chilka 1kg,150.0,110.0,140.0
Dal Loose Maa Chilka 250gm,40.0,28.0,35.0
Dal Loose Maa Chilka 500gm,80.0,50.0,70.0
Dal Loose Maa Chilka 50gm,10.0,5.5,6.0
Dal Loose Maa Dhuli 1kg,150.0,110.0,120.0
Dal Loose Maa Dhuli 250gm,40.0,28.0,30.0
Dal Loose Maa Dhuli 500gm,75.0,55.0,60.0
